county,color,id
"Phillips, AR",#2FC169,c05107
"Jefferson, AR",#2FC169,c05069
"Grant, AR",#0CA44D,c05053
"Hot Spring, AR",#54CC84,c05059
"Dallas, AR",#2FC169,c05039
"Cleveland, AR",#0CA44D,c05025
"Lincoln, AR",#2FC169,c05079
"Arkansas, AR",#0CA44D,c05001
"Desha, AR",#2FC169,c05041
"Drew, AR",#2FC169,c05043
"Bradley, AR",#2FC169,c05011
"Calhoun, AR",#0CA44D,c05013
"Ouachita, AR",#2FC169,c05103
"Nevada, AR",#78D79E,c05099
"Hempstead, AR",#2FC169,c05057
"Clark, AR",#0CA44D,c05019
"Pike, AR",#2FC169,c05109
"Howard, AR",#54CC84,c05061
"Polk, AR",#2FC169,c05113
"Sevier, AR",#2FC169,c05133
"Little River, AR",#2FC169,c05081
"Miller, AR",#2FC169,c05091
"Lafayette, AR",#2FC169,c05073
"Columbia, AR",#54CC84,c05027
"Union, AR",#137046,c05139
"Del Norte, CA",#2FC169,c06015
"Siskiyou, CA",#2FC169,c06093
"Imperial, CA",#2FC169,c06025
"Riverside, CA",#2FC169,c06065
"San Diego, CA",#2FC169,c06073
"Orange, CA",#2FC169,c06059
"Los Angeles, CA",#2FC169,c06037
"Ventura, CA",#0F934A,c06111
"Santa Barbara, CA",#2FC169,c06083
"San Luis Obispo, CA",#2FC169,c06079
"Kern, CA",#2FC169,c06029
"San Bernardino, CA",#2FC169,c06071
"Inyo, CA",#2FC169,c06027
"Tulare, CA",#0CA44D,c06107
"Kings, CA",#2FC169,c06031
"Madera, CA",#2FC169,c06039
"Fresno, CA",#2FC169,c06019
"Monterey, CA",#2FC169,c06053
"San Benito, CA",#2FC169,c06069
"Merced, CA",#2FC169,c06047
"Santa Cruz, CA",#2FC169,c06087
"San Mateo, CA",#2FC169,c06081
"Alameda, CA",#0F934A,c06001
"Santa Clara, CA",#2FC169,c06085
"Stanislaus, CA",#2FC169,c06099
"Mariposa, CA",#2FC169,c06043
"Tuolumne, CA",#0CA44D,c06109
"Mono, CA",#2FC169,c06051
"Alpine, CA",#0F934A,c06003
"Calaveras, CA",#0CA44D,c06009
"Amador, CA",#0F934A,c06005
"San Joaquin, CA",#2FC169,c06077
"Contra Costa, CA",#54CC84,c06013
"El Dorado, CA",#2FC169,c06017
"Sacramento, CA",#2FC169,c06067
"Solano, CA",#2FC169,c06095
"San Francisco, CA",#2FC169,c06075
