county,color
"Monterey, CA",#2FC169
"San Benito, CA",#2FC169
"Merced, CA",#2FC169
"Santa Cruz, CA",#2FC169
"San Mateo, CA",#2FC169
"Alameda, CA",#0F934A
"Santa Clara, CA",#2FC169
"Stanislaus, CA",#2FC169
"Mariposa, CA",#2FC169
"Tuolumne, CA",#0CA44D
"Mono, CA",#2FC169
"Alpine, CA",#0F934A
"Calaveras, CA",#0CA44D
"Amador, CA",#0F934A
"San Joaquin, CA",#2FC169
"Contra Costa, CA",#54CC84
"El Dorado, CA",#2FC169
"Sacramento, CA",#2FC169
"Solano, CA",#2FC169
"San Francisco, CA",#2FC169
"Marin, CA",#2FC169
"Napa, CA",#2FC169
"Sonoma, CA",#2FC169
"Yolo, CA",#2FC169
"Placer, CA",#2FC169
"Nevada, CA",#78D79E
"Sierra, CA",#2FC169
"Yuba, CA",#2FC169
"Sutter, CA",#FFFFFF
"Colusa, CA",#54CC84
"Lake, CA",#2FC169
"Butte, CA",#2FC169
"Glenn, CA",#0CA44D
"Plumas, CA",#2FC169
"Tehama, CA",#FFFFFF
"Mendocino, CA",#2FC169
"Humboldt, CA",#54CC84
"Trinity, CA",#0CA44D
"Shasta, CA",#2FC169
"Lassen, CA",#2FC169
"Modoc, CA",#2FC169
"Montezuma, CO",#2FC169
"La Plata, CO",#2FC169
"Prowers, CO",#0F934A
"Bent, CO",#2FC169
"Kiowa, CO",#2FC169
"Cheyenne, CO",#0CA44D
"Kit Carson, CO",#2FC169
"Yuma, CO",#2FC169
"Washington, CO",#2FC169
"Phillips, CO",#2FC169
"Sedgwick, CO",#2FC169
"Logan, CO",#2FC169
"Morgan, CO",#2FC169
"Baca, CO",#2FC169
"Otero, CO",#2FC169
"Crowley, CO",#54CC84
"Lincoln, CO",#2FC169
"Elbert, CO",#2FC169
"Arapahoe, CO",#0CA44D
"Weld, CO",#2FC169
"Adams, CO",#FFFFFF
"Denver, CO",#2FC169
"Douglas, CO",#2FC169
"El Paso, CO",#2FC169
"Teller, CO",#FFFFFF
"Pueblo, CO",#0F934A
"Las Animas, CO",#2FC169
"Huerfano, CO",#54CC84
"Costilla, CO",#54CC84
"Conejos, CO",#54CC84
"Alamosa, CO",#0F934A
"Rio Grande, CO",#2FC169
"Custer, CO",#2FC169
"Fremont, CO",#2FC169
"Saguache, CO",#2FC169
"Chaffee, CO",#0CA44D
"Gunnison, CO",#2FC169
"Pitkin, CO",#2FC169
"Lake, CO",#2FC169
"Park, CO",#2FC169
"Jefferson, CO",#2FC169
"Gilpin, CO",#0CA44D
"Clear Creek, CO",#0CA44D
"Summit, CO",#FFFFFF
"Eagle, CO",#2FC169
"Boulder, CO",#2FC169
"Grand, CO",#0CA44D
"Larimer, CO",#2FC169
"Jackson, CO",#2FC169
"Routt, CO",#2FC169
"Moffat, CO",#2FC169
"Rio Blanco, CO",#2FC169
"Garfield, CO",#0CA44D
"Delta, CO",#2FC169
"Mesa, CO",#2FC169
"Montrose, CO",#2FC169
"San Juan, CO",#2FC169
"Dolores, CO",#2FC169
"San Miguel, CO",#2FC169
"Ouray, CO",#2FC169
"Hinsdale, CO",#54CC84
"Mineral, CO",#2FC169
"Archuleta, CO",#0CA44D
"Broomfield, CO",#2FC169
"Fairfield, CT",#2FC169
"Hartford, CT",#2FC169
"Litchfield, CT",#2FC169
"Middlesex, CT",#2FC169
"New_Haven, CT",#78D79E
"New_London, CT",#78D79E
"Tolland, CT",#0CA44D
"Windham, CT",#54CC84
"Kent, DE",#2FC169
"New_Castle, DE",#78D79E
"Sussex, DE",#FFFFFF
"Bay, FL",#2FC169
"Jackson, FL",#2FC169
"Charlotte, FL",#0CA44D
"Lee, FL",#2FC169
"Hendry, FL",#2FC169
"Collier, FL",#54CC84
"Monroe, FL",#2FC169
"Miami-Dade, FL",#2FC169
"Broward, FL",#2FC169
"Palm Beach, FL",#2FC169
"Sarasota, FL",#2FC169
"DeSoto, FL",#2FC169
"Glades, FL",#0CA44D
"Martin, FL",#2FC169
"St. Lucie, FL",#2FC169
"Indian River, FL",#2FC169
"Okeechobee, FL",#2FC169
"Highlands, FL",#54CC84
"Hardee, FL",#2FC169
"Manatee, FL",#2FC169
"Pinellas, FL",#2FC169
"Hillsborough, FL",#54CC84
"Hernando, FL",#2FC169
"Pasco, FL",#2FC169
"Osceola, FL",#2FC169
"Polk, FL",#2FC169
"Orange, FL",#2FC169
"Seminole, FL",#2FC169
"Lake, FL",#2FC169
"Sumter, FL",#FFFFFF
"Citrus, FL",#0CA44D
"Levy, FL",#2FC169
"Marion, FL",#2FC169
"Volusia, FL",#78D79E
"Brevard, FL",#2FC169
"Washington, FL",#2FC169
"Holmes, FL",#54CC84
"Walton, FL",#2FC169
"Okaloosa, FL",#2FC169
"Santa Rosa, FL",#2FC169
"Escambia, FL",#2FC169
"Calhoun, FL",#0CA44D
"Gulf, FL",#2FC169
"Franklin, FL",#2FC169
"Dixie, FL",#2FC169
"Gilchrist, FL",#0CA44D
"Alachua, FL",#0F934A
"Putnam, FL",#0F934A
"Flagler, FL",#2FC169
